locale is "es_ES.UTF-8"
locale charset is "UTF-8"
locale is "es_ES.UTF-8"
locale charset is "UTF-8"
1> 2> Name	Owner	Object_type
HisT_BonificacionSaldos	dbo	user table
HisT_ColillaCar	dbo	user table
Hoja1$	dbo	user table
hSbeT_BonificacionCar	dbo	user table
hSbeT_BonificacionDet	dbo	user table
hSbeT_BonificacionPre	dbo	user table
Imed_AcumulaDeducibleFamiliar	dbo	user table
Imed_AcumulaDeduciblePorSistema	dbo	user table
Imed_AcumulaTopes	dbo	user table
Imed_AcumulaTopesAUD	dbo	user table
Imed_Anulacion	dbo	user table
Imed_Arancel	dbo	user table
IMed_BasePrestadoresAct	dbo	user table
Imed_BasePrestadorGral	dbo	user table
Imed_BasePrestadorGralNew	dbo	user table
Imed_BonificacionCar	dbo	user table
Imed_BonificacionDet	dbo	user table
Imed_BonificacionPre	dbo	user table
Imed_Certificacion	dbo	user table
Imed_Certificacion_Validos	dbo	user table
Imed_CobranzaDentalCar	dbo	user table
Imed_CobranzaDentalDet	dbo	user table
Imed_Conciliacion	dbo	user table
Imed_Confirmacion	dbo	user table
Imed_ControlBeneficiarios	dbo	user table
IMED_DoctosReprocesados	dbo	user table
Imed_EstadosFactura	dbo	user table
Imed_EstadosRegistros	dbo	user table
Imed_FacturaCar	dbo	user table
Imed_FacturaDet	dbo	user table
Imed_Febrero	dbo	user table
Imed_Financiador	dbo	user table
Imed_Homo_Operacion	dbo	user table
Imed_Isapres	dbo	user table
Imed_Lugares	dbo	user table
Imed_Marzo	dbo	user table
Imed_Prestadores	dbo	user table
Imed_SucursalesPrestadores	dbo	user table
Imed_TopesPorSistema	dbo	user table
Imed_TopesPorSistemaAUD	dbo	user table
Ind_Enero	dbo	user table
InformeIngresoDiario	dbo	user table
InsertScotCtaCte	dbo	user table
InsertSctoCtaCte	dbo	user table
IVR_Abandonos	dbo	user table
IVR_DetalleLlamadas	dbo	user table
IVR_LlamadasIvrAutoAtend	dbo	user table
Jaque_Colillas	dbo	user table
Leer_Comprobantes	dbo	user table
