locale is "es_ES.UTF-8"
locale charset is "UTF-8"
locale is "es_ES.UTF-8"
locale charset is "UTF-8"
1> 2> Name	Owner	Object_type
CARTAS_COL_TODO	dbo	user table
CARTAS_ESP	dbo	user table
CARTOLAS	dbo	user table
CAR_ADEC_201101	dbo	user table
CAR_ADEC_201104	dbo	user table
CAR_ADEC_201104_PASO	dbo	user table
CAR_ADEC_201104_PC	dbo	user table
CAR_FINIQUITO	dbo	user table
CAR_FINIQUITO_PASO	dbo	user table
CAR_FINIQUITO_PC	dbo	user table
CAR_IVB	dbo	user table
CAR_VIDAPLENA	dbo	user table
CAR_VIDAPLENA_GOLDEN	dbo	user table
CASOS	dbo	user table
CASOS_LEY	dbo	user table
CASO_ESPECIAL	dbo	user table
CATAUGE_01	dbo	user table
CATCIE	dbo	user table
CATDED	dbo	user table
CATDEDGES	dbo	user table
CATEGORIAS	dbo	user table
CATEGORIAS_GVT	dbo	user table
CATEG_NOADECUADOS_2006	dbo	user table
CATEVO	dbo	user table
CATIVB	dbo	user table
CATPRIV	dbo	user table
CATSOL	dbo	user table
CATSOL_IVB1	dbo	user table
CATSOL_IVB2	dbo	user table
CAT_CDN	dbo	user table
CAT_DETCARTA	dbo	user table
CAT_ENCCARTA	dbo	user table
CAT_IMPREFORM	dbo	user table
CAT_IQ	dbo	user table
CAT_IVB	dbo	user table
CAT_IVB2	dbo	user table
CAT_SIIBEN	dbo	user table
CAT_SIIGRU	dbo	user table
CAT_SIILOG	dbo	user table
CBONOBX	dbo	user table
CBONODEV	dbo	user table
CBR_ACCION	dbo	user table
CBR_ACTIVIDAD	dbo	user table
CBR_ASIGNACION_CARTERA	dbo	user table
CBR_ASIGNACION_CARTERA_HIST	dbo	user table
CBR_CALENDARIO_ACTDEUDA	dbo	user table
CBR_CAMPANA	dbo	user table
CBR_CAMPANALOG	dbo	user table
CBR_CAMPANAWORKLIST	dbo	user table
CBR_CAMPANA_FULL	dbo	user table
CBR_CAMPANA_SELEC	dbo	user table
